,58,200,12.86,0,0,-.385
102,2010,81,2100,13.7,0,0,-.292
102,2010,81,2200,13.71,0,0,-.253
102,2010,81,2300,13.72,0,0,-.27
101,2010,81,2400,13.48,9293.5,0
102,2010,81,2400,13.72,0,0,-.391
102,2010,82,100,13.73,0,0,-.424
102,2010,82,200,13.73,0,0,-.424
102,2010,82,300,13.73,0,0,-.407
102,2010,82,400,13.73,0,0,-.506
102,2010,82,500,13.75,0,0,-.517
102,2010,82,600,13.75,0,0,-.578
102,2010,82,700,13.76,.03832,0,-.567
102,2010,82,800,13.77,89.897,0,-.523
102,2010,82,900,13.77,369.38,0,-.264
