timestamp,latitude,longitude,GHI,DNI,DHI
2024-06-03,3.0,33.0,5.96,4.16,2.39
2024-06-04,3.0,33.0,3.58,1.25,1.99
2024-06-05,3.0,33.0,5.48,3.78,2.94
2024-06-06,3.0,33.0,5.74,3.81,2.39
2024-06-07,3.0,33.0,5.98,4.23,2.36
2024-06-08,3.0,33.0,4.46,1.57,2.57
2024-06-09,3.0,33.0,4.41,1.77,2.45
2024-06-10,3.0,33.0,5.61,3.53,2.61
2024-06-11,3.0,33.0,4.74,2.51,2.32
2024-06-12,3.0,33.0,4.69,2.23,2.42
2024-06-13,3.0,33.0,5.69,3.45,2.5
2024-06-14,3.0,33.0,6.23,5.03,2.26
2024-06-15,3.0,33.0,5.74,3.72,2.53
2024-06-16,3.0,33.0,6.55,5.82,2.22
2024-06-17,3.0,33.0,6.0,4.96,2.65
2024-06-18,3.0,33.0,5.62,3.77,2.71
2024-06-19,3.0,33.0,6.29,5.42,2.12
2024-06-20,3.0,33.0,6.48,6.15,2.01
2024-06-21,3.0,33.0,6.71,6.93,1.72
2024-06-22,3.0,33.0,6.32,5.63,2.03
2024-06-23,3.0,33.0,5.24,3.31,2.58
2024-06-24,3.0,33.0,5.67,4.1,2.32
2024-06-25,3.0,33.0,5.59,3.76,2.45
2024-06-26,3.0,33.0,5.45,3.52,2.47
2024-06-27,3.0,33.0,5.04,2.5,2.93
2024-06-28,3.0,33.0,5.54,3.92,2.34
2024-06-29,3.0,33.0,5.87,4.69,2.23
2024-06-30,3.0,33.0,5.6,4.45,2.07
2024-07-01,3.0,33.0,4.26,2.0,2.32
2024-07-02,3.0,33.0,6.18,5.29,2.27
2024-07-03,3.0,33.0,5.7,3.5,2.54
2024-07-04,3.0,33.0,6.72,6.5,1.8
2024-07-05,3.0,33.0,5.69,4.41,2.47
2024-07-06,3.0,33.0,4.49,1.28,2.55
2024-07-07,3.0,33.0,3.51,0.51,2.52
2024-07-08,3.0,33.0,5.62,3.02,2.81
2024-07-09,3.0,33.0,5.08,2.86,2.29
2024-07-10,3.0,33.0,5.23,2.69,2.89
2024-07-11,3.0,33.0,5.82,3.62,2.68
2024-07-12,3.0,33.0,5.95,4.89,2.05
2024-07-13,3.0,33.0,6.21,5.08,2.19
2024-07-14,3.0,33.0,4.74,2.48,2.25
2024-07-15,3.0,33.0,4.76,1.99,2.6
2024-07-16,3.0,33.0,4.12,1.62,2.43
2024-07-17,3.0,33.0,4.23,0.8,3.04
2024-07-18,3.0,33.0,4.19,1.3,2.66
2024-07-19,3.0,33.0,3.76,1.06,2.2
2024-07-20,3.0,33.0,4.2,1.3,2.47
2024-07-21,3.0,33.0,4.36,1.34,2.4
2024-07-22,3.0,33.0,3.41,0.26,2.41
2024-07-23,3.0,33.0,4.74,1.54,3.02
2024-07-24,3.0,33.0,4.24,1.05,2.57
2024-07-25,3.0,33.0,5.53,3.99,2.09
2024-07-26,3.0,33.0,3.58,0.53,2.34
2024-07-27,3.0,33.0,4.74,1.97,2.63
2024-07-28,3.0,33.0,5.15,1.93,2.74
2024-07-29,3.0,33.0,3.6,0.8,2.53
2024-07-30,3.0,33.0,4.13,1.08,2.34
2024-07-31,3.0,33.0,2.66,-999.0,-999.0
2024-08-01,3.0,33.0,5.22,-999.0,-999.0
2024-08-02,3.0,33.0,5.8,-999.0,-999.0
2024-08-03,3.0,33.0,5.81,-999.0,-999.0
2024-08-04,3.0,33.0,3.43,-999.0,-999.0
2024-08-05,3.0,33.0,2.63,-999.0,-999.0
2024-08-06,3.0,33.0,3.28,-999.0,-999.0
2024-08-07,3.0,33.0,6.38,-999.0,-999.0
2024-08-08,3.0,33.0,4.71,-999.0,-999.0
2024-08-09,3.0,33.0,5.87,-999.0,-999.0
2024-08-10,3.0,33.0,4.78,-999.0,-999.0
2024-08-11,3.0,33.0,5.99,-999.0,-999.0
2024-08-12,3.0,33.0,5.47,-999.0,-999.0
2024-08-13,3.0,33.0,6.04,-999.0,-999.0
2024-08-14,3.0,33.0,5.01,-999.0,-999.0
2024-08-15,3.0,33.0,3.95,-999.0,-999.0
2024-08-16,3.0,33.0,4.38,-999.0,-999.0
2024-08-17,3.0,33.0,2.85,-999.0,-999.0
2024-08-18,3.0,33.0,3.5,-999.0,-999.0
2024-08-19,3.0,33.0,4.25,-999.0,-999.0
2024-08-20,3.0,33.0,2.7,-999.0,-999.0
2024-08-21,3.0,33.0,3.56,-999.0,-999.0
2024-08-22,3.0,33.0,3.41,-999.0,-999.0
2024-08-23,3.0,33.0,5.26,-999.0,-999.0
2024-08-24,3.0,33.0,6.03,-999.0,-999.0
2024-08-25,3.0,33.0,5.43,-999.0,-999.0
2024-08-26,3.0,33.0,5.75,-999.0,-999.0
2024-08-27,3.0,33.0,6.38,-999.0,-999.0
2024-08-28,3.0,33.0,6.11,-999.0,-999.0
2024-08-29,3.0,33.0,6.44,-999.0,-999.0
2024-08-30,3.0,33.0,5.94,-999.0,-999.0
2024-08-31,3.0,33.0,4.13,-999.0,-999.0
2024-09-01,3.0,33.0,3.85,-999.0,-999.0
2024-09-02,3.0,33.0,5.54,-999.0,-999.0
2024-09-03,3.0,33.0,6.84,-999.0,-999.0
2024-09-04,3.0,33.0,6.31,-999.0,-999.0
2024-09-05,3.0,33.0,6.29,-999.0,-999.0
2024-09-06,3.0,33.0,6.67,-999.0,-999.0
2024-09-07,3.0,33.0,6.87,-999.0,-999.0
2024-09-08,3.0,33.0,6.71,-999.0,-999.0
2024-09-09,3.0,33.0,6.64,-999.0,-999.0
2024-09-10,3.0,33.0,6.7,-999.0,-999.0
2024-09-11,3.0,33.0,6.95,-999.0,-999.0
2024-09-12,3.0,33.0,6.88,-999.0,-999.0
2024-09-13,3.0,33.0,6.66,-999.0,-999.0
2024-09-14,3.0,33.0,5.65,-999.0,-999.0
2024-09-15,3.0,33.0,6.68,-999.0,-999.0
2024-09-16,3.0,33.0,6.37,-999.0,-999.0
2024-09-17,3.0,33.0,6.13,-999.0,-999.0
2024-09-18,3.0,33.0,7.1,-999.0,-999.0
2024-09-19,3.0,33.0,7.21,-999.0,-999.0
2024-09-20,3.0,33.0,4.16,-999.0,-999.0
2024-09-21,3.0,33.0,5.54,-999.0,-999.0
2024-09-22,3.0,33.0,6.63,-999.0,-999.0
2024-09-23,3.0,33.0,5.19,-999.0,-999.0
2024-09-24,3.0,33.0,6.96,-999.0,-999.0
2024-09-25,3.0,33.0,6.36,-999.0,-999.0
2024-09-26,3.0,33.0,6.64,-999.0,-999.0
2024-09-27,3.0,33.0,6.59,-999.0,-999.0
2024-09-28,3.0,33.0,6.5,-999.0,-999.0
2024-09-29,3.0,33.0,4.49,-999.0,-999.0
2024-09-30,3.0,33.0,2.28,-999.0,-999.0
2024-10-01,3.0,33.0,2.49,-999.0,-999.0
2024-10-02,3.0,33.0,4.54,-999.0,-999.0
2024-10-03,3.0,33.0,6.9,-999.0,-999.0
2024-10-04,3.0,33.0,6.37,-999.0,-999.0
2024-10-05,3.0,33.0,6.78,-999.0,-999.0
2024-10-06,3.0,33.0,3.1,-999.0,-999.0
2024-10-07,3.0,33.0,4.77,-999.0,-999.0
2024-10-08,3.0,33.0,6.46,-999.0,-999.0
2024-10-09,3.0,33.0,6.18,-999.0,-999.0
2024-10-10,3.0,33.0,6.01,-999.0,-999.0
2024-10-11,3.0,33.0,6.21,-999.0,-999.0
2024-10-12,3.0,33.0,4.61,-999.0,-999.0
2024-10-13,3.0,33.0,5.56,-999.0,-999.0
2024-10-14,3.0,33.0,6.55,-999.0,-999.0
2024-10-15,3.0,33.0,4.14,-999.0,-999.0
2024-10-16,3.0,33.0,4.98,-999.0,-999.0
2024-10-17,3.0,33.0,4.64,-999.0,-999.0
2024-10-18,3.0,33.0,4.54,-999.0,-999.0
2024-10-19,3.0,33.0,3.52,-999.0,-999.0
2024-10-20,3.0,33.0,4.57,-999.0,-999.0
2024-10-21,3.0,33.0,2.76,-999.0,-999.0
2024-10-22,3.0,33.0,5.54,-999.0,-999.0
2024-10-23,3.0,33.0,5.11,-999.0,-999.0
2024-10-24,3.0,33.0,6.21,-999.0,-999.0
2024-10-25,3.0,33.0,6.31,-999.0,-999.0
2024-10-26,3.0,33.0,5.94,-999.0,-999.0
